# z=7.0: redshift
# eps=0.3: maximum star formation efficiency for FFB
# -----
# lgMh [Msun], eps_sfr=SFR/(fb*dMhalo/dt), eps_s=Mstar/(fb*Mhalo)
# 
  lgMh     eps_sfr       eps_s  
   6.0   1.151e-04   1.694e-05  
   6.1   1.300e-04   1.959e-05  
   6.2   1.469e-04   2.265e-05  
   6.3   1.659e-04   2.619e-05  
   6.4   1.873e-04   3.028e-05  
   6.5   2.116e-04   3.502e-05  
   6.6   2.390e-04   4.049e-05  
   6.7   2.699e-04   4.683e-05  
   6.8   3.048e-04   5.415e-05  
   6.9   3.443e-04   6.262e-05  
   7.0   3.889e-04   7.241e-05  
   7.1   4.392e-04   8.373e-05  
   7.2   4.960e-04   9.683e-05  
   7.3   5.602e-04   1.120e-04  
   7.4   6.327e-04   1.295e-04  
   7.5   7.146e-04   1.498e-04  
   7.6   8.071e-04   1.732e-04  
   7.7   9.116e-04   2.004e-04  
   7.8   1.030e-03   2.318e-04  
   7.9   1.163e-03   2.681e-04  
   8.0   1.313e-03   3.102e-04  
   8.1   1.483e-03   3.589e-04  
   8.2   1.675e-03   4.153e-04  
   8.3   1.892e-03   4.806e-04  
   8.4   2.137e-03   5.564e-04  
   8.5   2.414e-03   6.443e-04  
   8.6   2.726e-03   7.462e-04  
   8.7   3.079e-03   8.646e-04  
   8.8   3.477e-03   1.002e-03  
   8.9   3.927e-03   1.162e-03  
   9.0   4.436e-03   1.349e-03  
   9.1   5.010e-03   1.566e-03  
   9.2   5.658e-03   1.821e-03  
   9.3   6.391e-03   2.119e-03  
   9.4   7.218e-03   2.468e-03  
   9.5   8.153e-03   2.881e-03  
   9.6   9.208e-03   3.369e-03  
   9.7   1.040e-02   3.949e-03  
   9.8   1.175e-02   4.643e-03  
   9.9   1.328e-02   5.482e-03  
  10.0   1.501e-02   6.503e-03  
  10.1   1.697e-02   7.761e-03  
  10.2   1.920e-02   9.335e-03  
  10.3   2.176e-02   1.134e-02  
  10.4   2.472e-02   1.393e-02  
  10.5   2.820e-02   1.735e-02  
  10.6   3.238e-02   2.196e-02  
  10.7   3.757e-02   2.829e-02  
  10.8   4.431e-02   3.710e-02  
  10.9   5.352e-02   4.940e-02  
  11.0   6.668e-02   6.645e-02  
  11.1   8.587e-02   8.934e-02  
  11.2   1.133e-01   1.183e-01  
  11.3   1.494e-01   1.514e-01  
  11.4   1.904e-01   1.845e-01  
  11.5   2.288e-01   2.124e-01  
  11.6   2.582e-01   2.323e-01  
  11.7   2.772e-01   2.445e-01  
  11.8   2.879e-01   2.519e-01  
  11.9   2.936e-01   2.583e-01  
  12.0   2.965e-01   2.671e-01  
  12.1   2.980e-01   2.803e-01  
  12.2   2.989e-01   2.966e-01  
  12.3   2.994e-01   3.121e-01  
  12.4   2.997e-01   3.238e-01  
  12.5   2.998e-01   3.305e-01  
  12.6   2.999e-01   3.331e-01  
  12.7         nan         nan  
  12.8         nan         nan  
  12.9         nan         nan  
  13.0         nan         nan  
  13.1         nan         nan  
  13.2         nan         nan  
  13.3         nan         nan  
  13.4         nan         nan  
  13.5         nan         nan  
  13.6         nan         nan  
  13.7         nan         nan  
  13.8         nan         nan  
  13.9         nan         nan  
  14.0         nan         nan  
  14.1         nan         nan  
  14.2         nan         nan  
  14.3         nan         nan  
  14.4         nan         nan  
  14.5         nan         nan  
  14.6         nan         nan  
  14.7         nan         nan  
  14.8         nan         nan  
  14.9         nan         nan  
  15.0         nan         nan  
