# z=20.5: redshift
# eps=0.7: maximum star formation efficiency for FFB
# -----
# lgMs [Msun], Phi=dN/dlgMs [cMpc^-3 dex^-1]
# 
  lgMs         Phi  
   6.0   5.386e-04  
   6.1   4.492e-04  
   6.2   3.740e-04  
   6.3   3.109e-04  
   6.4   2.579e-04  
   6.5   2.135e-04  
   6.6   1.763e-04  
   6.7   1.451e-04  
   6.8   1.191e-04  
   6.9   9.743e-05  
   7.0   7.933e-05  
   7.1   6.426e-05  
   7.2   5.172e-05  
   7.3   4.130e-05  
   7.4   3.267e-05  
   7.5   2.553e-05  
   7.6   1.966e-05  
   7.7   1.487e-05  
   7.8   1.101e-05  
   7.9   7.950e-06  
   8.0   5.574e-06  
   8.1   3.782e-06  
   8.2   2.473e-06  
   8.3   1.554e-06  
   8.4   9.361e-07  
   8.5   5.389e-07  
   8.6   2.960e-07  
   8.7   1.550e-07  
   8.8   7.728e-08  
   8.9   3.668e-08  
   9.0   1.658e-08  
   9.1   7.136e-09  
   9.2   2.927e-09  
   9.3   1.145e-09  
   9.4   4.278e-10  
   9.5   1.526e-10  
   9.6   5.203e-11  
   9.7   1.696e-11  
   9.8   5.284e-12  
   9.9   1.572e-12  
  10.0   4.460e-13  
  10.1   1.204e-13  
  10.2   3.080e-14  
  10.3   7.445e-15  
  10.4   1.692e-15  
  10.5   3.595e-16  
  10.6   7.112e-17  
  10.7   1.303e-17  
  10.8   2.200e-18  
  10.9   3.412e-19  
  11.0   4.839e-20  
  11.1   6.259e-21  
  11.2   7.361e-22  
  11.3   7.857e-23  
  11.4   7.594e-24  
  11.5   6.636e-25  
  11.6   5.237e-26  
  11.7   3.727e-27  
  11.8   2.390e-28  
  11.9   1.380e-29  
  12.0   7.168e-31  
  12.1   3.348e-32  
  12.2   1.405e-33  
  12.3   5.299e-35  
  12.4   1.794e-36  
  12.5   5.454e-38  
  12.6   1.488e-39  
  12.7   3.642e-41  
  12.8   7.995e-43  
  12.9   1.574e-44  
  13.0   2.780e-46  
