# z=9.0: redshift
# eps=0.2: maximum star formation efficiency for FFB
# -----
# MUV, Phi=dN/dMUV [cMpc^-3 Mag^-1]
#   [none, disc, shell], extinction models: no dust, disc mode, or shell mode
#     extinction for shell mode is stronger that for disc mode, see details in Li, Dekel+23
    MUV   Phi[none]   Phi[disc]   Phi[shell]  
  -14.0   4.282e-02   4.170e-02    4.170e-02  
  -14.1   3.932e-02   3.823e-02    3.823e-02  
  -14.2   3.609e-02   3.504e-02    3.504e-02  
  -14.3   3.312e-02   3.209e-02    3.209e-02  
  -14.4   3.037e-02   2.938e-02    2.938e-02  
  -14.5   2.784e-02   2.689e-02    2.689e-02  
  -14.6   2.552e-02   2.459e-02    2.459e-02  
  -14.7   2.338e-02   2.248e-02    2.248e-02  
  -14.8   2.141e-02   2.054e-02    2.054e-02  
  -14.9   1.959e-02   1.876e-02    1.876e-02  
  -15.0   1.793e-02   1.712e-02    1.712e-02  
  -15.1   1.640e-02   1.562e-02    1.562e-02  
  -15.2   1.500e-02   1.424e-02    1.424e-02  
  -15.3   1.371e-02   1.298e-02    1.298e-02  
  -15.4   1.252e-02   1.183e-02    1.183e-02  
  -15.5   1.144e-02   1.077e-02    1.077e-02  
  -15.6   1.045e-02   9.801e-03    9.802e-03  
  -15.7   9.536e-03   8.916e-03    8.917e-03  
  -15.8   8.702e-03   8.107e-03    8.108e-03  
  -15.9   7.939e-03   7.368e-03    7.369e-03  
  -16.0   7.241e-03   6.693e-03    6.694e-03  
  -16.1   6.603e-03   6.077e-03    6.079e-03  
  -16.2   6.019e-03   5.516e-03    5.517e-03  
  -16.3   5.486e-03   5.004e-03    5.006e-03  
  -16.4   4.999e-03   4.538e-03    4.540e-03  
  -16.5   4.555e-03   4.114e-03    4.116e-03  
  -16.6   4.149e-03   3.728e-03    3.730e-03  
  -16.7   3.779e-03   3.377e-03    3.379e-03  
  -16.8   3.441e-03   3.058e-03    3.060e-03  
  -16.9   3.134e-03   2.768e-03    2.770e-03  
  -17.0   2.853e-03   2.504e-03    2.507e-03  
  -17.1   2.598e-03   2.265e-03    2.268e-03  
  -17.2   2.365e-03   2.048e-03    2.051e-03  
  -17.3   2.153e-03   1.852e-03    1.855e-03  
  -17.4   1.960e-03   1.674e-03    1.677e-03  
  -17.5   1.785e-03   1.512e-03    1.516e-03  
  -17.6   1.625e-03   1.366e-03    1.370e-03  
  -17.7   1.479e-03   1.233e-03    1.238e-03  
  -17.8   1.347e-03   1.113e-03    1.118e-03  
