# eps=0.1: maximum star formation efficiency for FFB
# FFB attenuation mode: disc. None for no attenuation
# -----
# z, rho_UV[<MUV] [erg s^-1 Hz^-1 cMpc^-3]
# 
       z   rho(<-12.0)   rho(<-12.5)   rho(<-13.0)   rho(<-13.5)   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
   4.000           nan           nan     3.306e+26     3.258e+26     3.200e+26     3.131e+26     3.050e+26     2.953e+26     2.841e+26     2.710e+26     2.560e+26     2.389e+26     2.198e+26     1.988e+26     1.762e+26     1.523e+26     1.279e+26     1.037e+26     8.068e+25     5.979e+25     4.189e+25  
   4.500           nan           nan     2.823e+26     2.768e+26     2.703e+26     2.627e+26     2.539e+26     2.437e+26     2.319e+26     2.186e+26     2.036e+26     1.870e+26     1.689e+26     1.496e+26     1.295e+26     1.090e+26     8.895e+25     6.995e+25     5.277e+25     3.805e+25     2.625e+25  
   5.000           nan           nan     2.402e+26     2.342e+26     2.272e+26     2.192e+26     2.100e+26     1.995e+26     1.877e+26     1.746e+26     1.603e+26     1.447e+26     1.283e+26     1.112e+26     9.400e+25     7.714e+25     6.122e+25     4.680e+25     3.436e+25     2.422e+25     1.650e+25  
   5.500           nan           nan     2.028e+26     1.965e+26     1.893e+26     1.811e+26     1.719e+26     1.616e+26     1.502e+26     1.379e+26     1.246e+26     1.107e+26     9.629e+25     8.180e+25     6.764e+25     5.424e+25     4.204e+25     3.140e+25     2.257e+25     1.564e+25     1.049e+25  
   6.000           nan           nan     1.691e+26     1.628e+26     1.556e+26     1.476e+26     1.387e+26     1.290e+26     1.185e+26     1.073e+26     9.560e+25     8.354e+25     7.144e+25     5.959e+25     4.835e+25     3.804e+25     2.894e+25     2.124e+25     1.501e+25     1.022e+25     6.670e+24  
   6.500           nan           nan     1.495e+26     1.427e+26     1.353e+26     1.271e+26     1.183e+26     1.089e+26     9.890e+25     8.849e+25     7.782e+25     6.710e+25     5.658e+25     4.653e+25     3.721e+25     2.886e+25     2.164e+25     1.564e+25     1.085e+25     7.180e+24     4.472e+24  
   7.000           nan           nan     1.209e+26     1.146e+26     1.078e+26     1.005e+26     9.272e+25     8.448e+25     7.592e+25     6.715e+25     5.835e+25     4.969e+25     4.138e+25     3.361e+25     2.656e+25     2.035e+25     1.507e+25     1.073e+25     7.280e+24     4.649e+24     2.727e+24  
   7.500           nan           nan     9.619e+25     9.062e+25     8.464e+25     7.826e+25     7.156e+25     6.459e+25     5.748e+25     5.032e+25     4.327e+25     3.648e+25     3.007e+25     2.420e+25     1.894e+25     1.437e+25     1.051e+25     7.338e+24     4.833e+24     2.942e+24     1.604e+24  
   8.000           nan           nan     7.545e+25     7.062e+25     6.548e+25     6.009e+25     5.449e+25     4.878e+25     4.302e+25     3.734e+25     3.184e+25     2.663e+25     2.179e+25     1.740e+25     1.351e+25     1.014e+25     7.291e+24     4.964e+24     3.143e+24     1.803e+24     9.042e+23  
   8.500           nan           nan     5.846e+25     5.437e+25     5.007e+25     4.562e+25     4.107e+25     3.649e+25     3.195e+25     2.754e+25     2.333e+25     1.939e+25     1.576e+25     1.250e+25     9.616e+24     7.117e+24     5.009e+24     3.298e+24     1.987e+24     1.063e+24     4.865e+23  
