# eps=0.1: maximum star formation efficiency for FFB
# FFB attenuation mode: None. None for no attenuation
# -----
# z, rho_UV[<MUV] [erg s^-1 Hz^-1 cMpc^-3]
# 
       z   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)  
   5.000     3.932e+26     3.823e+26     3.698e+26     3.557e+26     3.399e+26     3.223e+26     3.029e+26     2.818e+26     2.590e+26     2.349e+26     2.097e+26     1.837e+26     1.575e+26  
   5.500     2.967e+26     2.860e+26     2.739e+26     2.606e+26     2.459e+26     2.300e+26     2.129e+26     1.947e+26     1.757e+26     1.561e+26     1.362e+26     1.164e+26     9.703e+25  
   6.000     2.247e+26     2.146e+26     2.034e+26     1.913e+26     1.782e+26     1.644e+26     1.499e+26     1.348e+26     1.195e+26     1.042e+26     8.901e+25     7.430e+25     6.027e+25  
   6.500     1.825e+26     1.726e+26     1.620e+26     1.506e+26     1.387e+26     1.263e+26     1.136e+26     1.008e+26     8.794e+25     7.535e+25     6.317e+25     5.157e+25     4.071e+25  
   7.000     1.374e+26     1.287e+26     1.196e+26     1.100e+26     1.002e+26     9.012e+25     8.001e+25     7.000e+25     6.021e+25     5.078e+25     4.181e+25     3.340e+25     2.565e+25  
   7.500     1.027e+26     9.534e+25     8.772e+25     7.990e+25     7.198e+25     6.405e+25     5.623e+25     4.862e+25     4.129e+25     3.432e+25     2.777e+25     2.169e+25     1.616e+25  
   8.000     7.614e+25     7.011e+25     6.395e+25     5.773e+25     5.152e+25     4.542e+25     3.949e+25     3.379e+25     2.837e+25     2.325e+25     1.847e+25     1.406e+25     1.011e+25  
   8.500     5.612e+25     5.129e+25     4.642e+25     4.158e+25     3.682e+25     3.220e+25     2.776e+25     2.353e+25     1.952e+25     1.575e+25     1.225e+25     9.055e+24     6.254e+24  
   9.000     4.121e+25     3.741e+25     3.364e+25     2.993e+25     2.633e+25     2.287e+25     1.956e+25     1.641e+25     1.344e+25     1.066e+25     8.079e+24     5.769e+24     3.805e+24  
   9.500     3.024e+25     2.729e+25     2.440e+25     2.159e+25     1.888e+25     1.628e+25     1.381e+25     1.146e+25     9.249e+24     7.178e+24     5.285e+24     3.628e+24     2.275e+24  
  10.000     2.222e+25     1.995e+25     1.775e+25     1.562e+25     1.358e+25     1.163e+25     9.773e+24     8.010e+24     6.348e+24     4.806e+24     3.423e+24     2.251e+24     1.339e+24  
  10.500     1.638e+25     1.464e+25     1.297e+25     1.135e+25     9.806e+24     8.330e+24     6.924e+24     5.591e+24     4.340e+24     3.196e+24     2.195e+24     1.380e+24     7.786e+23  
  11.000     1.214e+25     1.080e+25     9.516e+24     8.283e+24     7.104e+24     5.978e+24     4.907e+24     3.894e+24     2.954e+24     2.110e+24     1.395e+24     8.370e+23     4.470e+23  
  11.500     9.042e+24     8.009e+24     7.017e+24     6.067e+24     5.159e+24     4.294e+24     3.473e+24     2.703e+24     1.999e+24     1.383e+24     8.778e+23     5.010e+23     2.513e+23  
  12.000     6.773e+24     5.966e+24     5.192e+24     4.454e+24     3.750e+24     3.081e+24     2.451e+24     1.867e+24     1.343e+24     8.968e+23     5.438e+23     2.922e+23     1.354e+23  
  12.500     5.095e+24     4.457e+24     3.847e+24     3.268e+24     2.719e+24     2.201e+24     1.719e+24     1.278e+24     8.910e+23     5.700e+23     3.261e+23     1.620e+23     6.780e+22  
  13.000     3.838e+24     3.327e+24     2.843e+24     2.386e+24     1.957e+24     1.557e+24     1.189e+24     8.593e+23     5.755e+23     3.480e+23     1.844e+23     8.287e+22     3.073e+22  
  13.500     2.880e+24     2.468e+24     2.081e+24     1.721e+24     1.387e+24     1.081e+24     8.029e+23     5.582e+23     3.541e+23     1.988e+23     9.569e+22     3.836e+22     1.254e+22  
  14.000     2.137e+24     1.803e+24     1.495e+24     1.214e+24     9.577e+23     7.260e+23     5.198e+23     3.434e+23     2.032e+23     1.045e+23     4.533e+22     1.624e+22     4.743e+21  
  14.500     1.551e+24     1.283e+24     1.042e+24     8.269e+23     6.352e+23     4.653e+23     3.182e+23     1.978e+23     1.085e+23     5.103e+22     2.010e+22     6.534e+21     1.741e+21  
  15.000     1.086e+24     8.771e+23     6.959e+23     5.387e+23     4.018e+23     2.836e+23     1.848e+23     1.081e+23     5.517e+22     2.395e+22     8.679e+21     2.599e+21     6.415e+20  
  15.500     7.241e+23     5.714e+23     4.443e+23     3.369e+23     2.450e+23     1.672e+23     1.042e+23     5.759e+22     2.751e+22     1.111e+22     3.736e+21     1.039e+21     2.390e+20  
  16.000     4.586e+23     3.578e+23     2.758e+23     2.067e+23     1.474e+23     9.754e+22     5.820e+22     3.047e+22     1.366e+22     5.147e+21     1.612e+21     4.175e+20     8.954e+19  
  16.500     2.825e+23     2.218e+23     1.714e+23     1.274e+23     8.906e+22     5.699e+22     3.249e+22     1.608e+22     6.761e+21     2.378e+21     6.939e+20     1.675e+20     3.348e+19  
  17.000     1.761e+23     1.401e+23     1.083e+23     7.944e+22     5.408e+22     3.330e+22     1.807e+22     8.434e+21     3.323e+21     1.091e+21     2.967e+20     6.671e+19     1.243e+19  
  17.500     1.134e+23     9.058e+22     6.932e+22     4.980e+22     3.283e+22     1.936e+22     9.967e+21     4.379e+21     1.615e+21     4.947e+20     1.253e+20     2.626e+19     4.558e+18  
  18.000     7.475e+22     5.927e+22     4.457e+22     3.117e+22     1.980e+22     1.115e+22     5.429e+21     2.241e+21     7.729e+20     2.209e+20     5.215e+19     1.018e+19     1.648e+18  
  18.500     4.975e+22     3.888e+22     2.858e+22     1.937e+22     1.182e+22     6.332e+21     2.911e+21     1.128e+21     3.635e+20     9.690e+19     2.133e+19     3.885e+18     5.859e+17  
  19.000     3.313e+22     2.540e+22     1.819e+22     1.191e+22     6.957e+21     3.538e+21     1.533e+21     5.566e+20     1.677e+20     4.171e+19     8.567e+18     1.455e+18     2.048e+17  
  19.500     2.196e+22     1.647e+22     1.146e+22     7.224e+21     4.028e+21     1.940e+21     7.911e+20     2.691e+20     7.576e+19     1.759e+19     3.373e+18     5.351e+17     7.021e+16  
  20.000     1.444e+22     1.057e+22     7.122e+21     4.313e+21     2.290e+21     1.043e+21     3.997e+20     1.273e+20     3.350e+19     7.266e+18     1.301e+18     1.928e+17     2.358e+16  
