# eps=0.3: maximum star formation efficiency for FFB
# FFB attenuation mode: shell. None for no attenuation
# -----
# z, rho_UV[<MUV] [erg s^-1 Hz^-1 cMpc^-3]
# 
       z   rho(<-12.0)   rho(<-12.5)   rho(<-13.0)   rho(<-13.5)   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
   4.000           nan           nan     3.404e+26     3.355e+26     3.297e+26     3.228e+26     3.146e+26     3.049e+26     2.936e+26     2.804e+26     2.653e+26     2.480e+26     2.287e+26     2.074e+26     1.843e+26     1.600e+26     1.350e+26     1.100e+26     8.598e+25     6.383e+25     4.438e+25  
   4.500           nan           nan     2.930e+26     2.875e+26     2.810e+26     2.734e+26     2.645e+26     2.542e+26     2.424e+26     2.290e+26     2.138e+26     1.970e+26     1.787e+26     1.590e+26     1.383e+26     1.173e+26     9.633e+25     7.624e+25     5.764e+25     4.114e+25     2.723e+25  
   5.000           nan           nan     2.534e+26     2.474e+26     2.404e+26     2.323e+26     2.230e+26     2.125e+26     2.006e+26     1.874e+26     1.728e+26     1.570e+26     1.402e+26     1.227e+26     1.049e+26     8.718e+25     7.016e+25     5.429e+25     3.997e+25     2.757e+25     1.740e+25  
   5.500           nan           nan     2.181e+26     2.118e+26     2.045e+26     1.963e+26     1.870e+26     1.767e+26     1.652e+26     1.527e+26     1.392e+26     1.249e+26     1.101e+26     9.506e+25     8.012e+25     6.568e+25     5.209e+25     3.963e+25     2.854e+25     1.905e+25     1.143e+25  
   6.000           nan           nan     1.858e+26     1.794e+26     1.722e+26     1.642e+26     1.552e+26     1.454e+26     1.348e+26     1.234e+26     1.114e+26     9.899e+25     8.637e+25     7.383e+25     6.165e+25     5.008e+25     3.932e+25     2.951e+25     2.080e+25     1.339e+25     7.587e+24  
   6.500           nan           nan     1.683e+26     1.615e+26     1.540e+26     1.458e+26     1.369e+26     1.273e+26     1.172e+26     1.065e+26     9.551e+25     8.432e+25     7.315e+25     6.222e+25     5.172e+25     4.181e+25     3.259e+25     2.414e+25     1.660e+25     1.025e+25     5.447e+24  
   7.000           nan           nan     1.397e+26     1.334e+26     1.266e+26     1.192e+26     1.113e+26     1.030e+26     9.420e+25     8.515e+25     7.594e+25     6.673e+25     5.766e+25     4.887e+25     4.049e+25     3.258e+25     2.518e+25     1.835e+25     1.226e+25     7.236e+24     3.601e+24  
   7.500           nan           nan     1.145e+26     1.089e+26     1.029e+26     9.646e+25     8.964e+25     8.252e+25     7.517e+25     6.769e+25     6.018e+25     5.275e+25     4.549e+25     3.849e+25     3.180e+25     2.546e+25     1.948e+25     1.392e+25     9.003e+24     5.058e+24     2.358e+24  
   8.000           nan           nan     9.285e+25     8.798e+25     8.279e+25     7.731e+25     7.159e+25     6.569e+25     5.967e+25     5.362e+25     4.759e+25     4.167e+25     3.590e+25     3.034e+25     2.499e+25     1.987e+25     1.500e+25     1.047e+25     6.526e+24     3.482e+24     1.524e+24  
   8.500           nan           nan     7.457e+25     7.044e+25     6.608e+25     6.153e+25     5.684e+25     5.205e+25     4.721e+25     4.238e+25     3.759e+25     3.290e+25     2.833e+25     2.389e+25     1.959e+25     1.543e+25     1.145e+25     7.771e+24     4.648e+24     2.351e+24     9.675e+23  
