# eps=0.4: maximum star formation efficiency for FFB
# FFB attenuation mode: None. None for no attenuation
# -----
# z, rho_UV[<MUV] [erg s^-1 Hz^-1 cMpc^-3]
# 
       z   rho(<-12.0)   rho(<-12.5)   rho(<-13.0)   rho(<-13.5)   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
   4.000     9.463e+26     9.429e+26     9.389e+26     9.339e+26     9.280e+26     9.209e+26     9.125e+26     9.024e+26     8.904e+26     8.763e+26     8.597e+26     8.403e+26     8.179e+26     7.921e+26     7.626e+26     7.292e+26     6.918e+26     6.504e+26     6.051e+26     5.561e+26     5.041e+26  
   4.500     7.484e+26     7.445e+26     7.398e+26     7.342e+26     7.275e+26     7.197e+26     7.105e+26     6.998e+26     6.873e+26     6.728e+26     6.561e+26     6.371e+26     6.155e+26     5.913e+26     5.644e+26     5.347e+26     5.024e+26     4.677e+26     4.308e+26     3.922e+26     3.522e+26  
   5.000     6.027e+26     5.983e+26     5.930e+26     5.869e+26     5.798e+26     5.715e+26     5.619e+26     5.509e+26     5.382e+26     5.239e+26     5.078e+26     4.898e+26     4.698e+26     4.480e+26     4.242e+26     3.987e+26     3.717e+26     3.433e+26     3.138e+26     2.835e+26     2.528e+26  
   5.500     4.897e+26     4.850e+26     4.794e+26     4.730e+26     4.656e+26     4.571e+26     4.475e+26     4.366e+26     4.244e+26     4.108e+26     3.958e+26     3.793e+26     3.616e+26     3.425e+26     3.222e+26     3.009e+26     2.788e+26     2.559e+26     2.326e+26     2.088e+26     1.847e+26  
   6.000     3.986e+26     3.936e+26     3.879e+26     3.814e+26     3.741e+26     3.658e+26     3.565e+26     3.462e+26     3.348e+26     3.224e+26     3.089e+26     2.945e+26     2.792e+26     2.630e+26     2.462e+26     2.288e+26     2.109e+26     1.927e+26     1.741e+26     1.552e+26     1.361e+26  
   6.500     3.484e+26     3.429e+26     3.367e+26     3.297e+26     3.221e+26     3.136e+26     3.043e+26     2.942e+26     2.833e+26     2.716e+26     2.592e+26     2.461e+26     2.323e+26     2.181e+26     2.034e+26     1.883e+26     1.728e+26     1.570e+26     1.409e+26     1.244e+26     1.075e+26  
   7.000     2.811e+26     2.759e+26     2.701e+26     2.637e+26     2.567e+26     2.491e+26     2.409e+26     2.320e+26     2.225e+26     2.126e+26     2.021e+26     1.912e+26     1.799e+26     1.683e+26     1.563e+26     1.441e+26     1.317e+26     1.188e+26     1.057e+26     9.214e+25     7.826e+25  
   7.500     2.252e+26     2.205e+26     2.152e+26     2.095e+26     2.033e+26     1.967e+26     1.895e+26     1.820e+26     1.740e+26     1.657e+26     1.570e+26     1.481e+26     1.390e+26     1.296e+26     1.200e+26     1.101e+26     1.000e+26     8.953e+25     7.871e+25     6.755e+25     5.611e+25  
   8.000     1.792e+26     1.749e+26     1.703e+26     1.654e+26     1.600e+26     1.544e+26     1.483e+26     1.420e+26     1.355e+26     1.287e+26     1.217e+26     1.145e+26     1.071e+26     9.959e+25     9.183e+25     8.382e+25     7.553e+25     6.693e+25     5.801e+25     4.880e+25     3.944e+25  
   8.500     1.416e+26     1.379e+26     1.340e+26     1.298e+26     1.253e+26     1.205e+26     1.156e+26     1.104e+26     1.051e+26     9.964e+25     9.402e+25     8.826e+25     8.235e+25     7.626e+25     6.997e+25     6.343e+25     5.663e+25     4.954e+25     4.218e+25     3.463e+25     2.707e+25  
   9.000     1.113e+26     1.082e+26     1.049e+26     1.014e+26     9.767e+25     9.379e+25     8.977e+25     8.562e+25     8.135e+25     7.697e+25     7.247e+25     6.785e+25     6.309e+25     5.816e+25     5.303e+25     4.767e+25     4.207e+25     3.624e+25     3.020e+25     2.409e+25     1.810e+25  
   9.500     8.717e+25     8.458e+25     8.183e+25     7.894e+25     7.592e+25     7.279e+25     6.956e+25     6.624e+25     6.283e+25     5.933e+25     5.572e+25     5.200e+25     4.815e+25     4.413e+25     3.993e+25     3.554e+25     3.093e+25     2.615e+25     2.125e+25     1.638e+25     1.176e+25  
  10.000     6.806e+25     6.593e+25     6.368e+25     6.134e+25     5.891e+25     5.640e+25     5.381e+25     5.116e+25     4.843e+25     4.562e+25     4.272e+25     3.971e+25     3.658e+25     3.330e+25     2.986e+25     2.625e+25     2.248e+25     1.859e+25     1.466e+25     1.086e+25     7.399e+24  
  10.500     5.305e+25     5.131e+25     4.949e+25     4.760e+25     4.564e+25     4.363e+25     4.156e+25     3.944e+25     3.725e+25     3.499e+25     3.264e+25     3.020e+25     2.764e+25     2.495e+25     2.213e+25     1.918e+25     1.612e+25     1.299e+25     9.901e+24     7.006e+24     4.498e+24  
  11.000     4.132e+25     3.990e+25     3.843e+25     3.690e+25     3.533e+25     3.371e+25     3.205e+25     3.034e+25     2.858e+25     2.675e+25     2.484e+25     2.285e+25     2.076e+25     1.856e+25     1.626e+25     1.386e+25     1.139e+25     8.912e+24     6.530e+24     4.386e+24     2.635e+24  
