# eps=0.5: maximum star formation efficiency for FFB
# FFB attenuation mode: disc. None for no attenuation
# -----
# z, rho_UV[<MUV] [erg s^-1 Hz^-1 cMpc^-3]
# 
       z   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
   4.000           nan           nan     3.535e+26     3.438e+26     3.324e+26     3.191e+26     3.038e+26     2.864e+26     2.669e+26     2.453e+26     2.219e+26     1.971e+26     1.715e+26     1.458e+26     1.210e+26     9.785e+25     7.716e+25  
   4.500           nan           nan     3.085e+26     2.981e+26     2.862e+26     2.726e+26     2.573e+26     2.403e+26     2.217e+26     2.016e+26     1.805e+26     1.589e+26     1.372e+26     1.162e+26     9.656e+25     7.877e+25     6.321e+25  
   5.000           nan           nan     2.678e+26     2.571e+26     2.452e+26     2.318e+26     2.170e+26     2.010e+26     1.838e+26     1.659e+26     1.475e+26     1.290e+26     1.111e+26     9.413e+25     7.853e+25     6.459e+25     5.243e+25  
   5.500           nan           nan     2.306e+26     2.202e+26     2.086e+26     1.959e+26     1.822e+26     1.676e+26     1.524e+26     1.368e+26     1.211e+26     1.058e+26     9.113e+25     7.742e+25     6.490e+25     5.368e+25     4.381e+25  
   6.000           nan           nan     1.964e+26     1.865e+26     1.757e+26     1.641e+26     1.519e+26     1.391e+26     1.259e+26     1.128e+26     9.973e+25     8.713e+25     7.517e+25     6.402e+25     5.379e+25     4.454e+25     3.626e+25  
   6.500           nan           nan     1.775e+26     1.678e+26     1.575e+26     1.466e+26     1.352e+26     1.236e+26     1.118e+26     1.001e+26     8.857e+25     7.746e+25     6.689e+25     5.696e+25     4.774e+25     3.929e+25     3.159e+25  
   7.000           nan           nan     1.478e+26     1.393e+26     1.303e+26     1.210e+26     1.114e+26     1.017e+26     9.192e+25     8.226e+25     7.280e+25     6.366e+25     5.490e+25     4.660e+25     3.882e+25     3.160e+25     2.493e+25  
   7.500           nan           nan     1.218e+26     1.145e+26     1.069e+26     9.914e+25     9.119e+25     8.318e+25     7.517e+25     6.726e+25     5.949e+25     5.192e+25     4.462e+25     3.764e+25     3.103e+25     2.483e+25     1.907e+25  
   8.000           nan           nan     9.947e+25     9.338e+25     8.710e+25     8.069e+25     7.419e+25     6.766e+25     6.112e+25     5.464e+25     4.823e+25     4.195e+25     3.583e+25     2.993e+25     2.430e+25     1.901e+25     1.409e+25  
   8.500           nan           nan     8.064e+25     7.565e+25     7.052e+25     6.531e+25     6.004e+25     5.472e+25     4.939e+25     4.405e+25     3.875e+25     3.351e+25     2.837e+25     2.338e+25     1.862e+25     1.413e+25     1.003e+25  
