# eps=0.6: maximum star formation efficiency for FFB
# FFB attenuation mode: shell. None for no attenuation
# -----
# z, rho_UV[<MUV] [erg s^-1 Hz^-1 cMpc^-3]
# 
       z   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
   4.000           nan           nan     3.416e+26     3.319e+26     3.204e+26     3.071e+26     2.918e+26     2.743e+26     2.546e+26     2.329e+26     2.093e+26     1.843e+26     1.583e+26     1.323e+26     1.069e+26     8.311e+25     6.160e+25  
   4.500           nan           nan     2.932e+26     2.828e+26     2.709e+26     2.573e+26     2.419e+26     2.248e+26     2.060e+26     1.857e+26     1.644e+26     1.424e+26     1.203e+26     9.881e+25     7.842e+25     5.970e+25     4.310e+25  
   5.000           nan           nan     2.529e+26     2.422e+26     2.302e+26     2.167e+26     2.019e+26     1.857e+26     1.684e+26     1.502e+26     1.315e+26     1.126e+26     9.418e+25     7.652e+25     6.001e+25     4.495e+25     3.162e+25  
   5.500           nan           nan     2.173e+26     2.068e+26     1.952e+26     1.824e+26     1.686e+26     1.539e+26     1.384e+26     1.225e+26     1.065e+26     9.069e+25     7.540e+25     6.087e+25     4.729e+25     3.483e+25     2.379e+25  
   6.000           nan           nan     1.852e+26     1.753e+26     1.645e+26     1.528e+26     1.404e+26     1.274e+26     1.140e+26     1.005e+26     8.708e+25     7.394e+25     6.128e+25     4.922e+25     3.786e+25     2.734e+25     1.801e+25  
   6.500           nan           nan     1.683e+26     1.586e+26     1.482e+26     1.371e+26     1.256e+26     1.137e+26     1.017e+26     8.956e+25     7.756e+25     6.583e+25     5.446e+25     4.351e+25     3.304e+25     2.329e+25     1.472e+25  
   7.000           nan           nan     1.413e+26     1.327e+26     1.237e+26     1.142e+26     1.044e+26     9.442e+25     8.433e+25     7.425e+25     6.427e+25     5.447e+25     4.490e+25     3.558e+25     2.659e+25     1.822e+25     1.102e+25  
   7.500           nan           nan     1.177e+26     1.103e+26     1.026e+26     9.466e+25     8.650e+25     7.822e+25     6.987e+25     6.152e+25     5.321e+25     4.500e+25     3.690e+25     2.893e+25     2.121e+25     1.408e+25     8.141e+24  
   8.000           nan           nan     9.732e+25     9.114e+25     8.474e+25     7.816e+25     7.144e+25     6.462e+25     5.773e+25     5.081e+25     4.388e+25     3.697e+25     3.009e+25     2.327e+25     1.668e+25     1.070e+25     5.910e+24  
   8.500           nan           nan     8.003e+25     7.493e+25     6.968e+25     6.428e+25     5.878e+25     5.318e+25     4.749e+25     4.175e+25     3.595e+25     3.011e+25     2.426e+25     1.845e+25     1.289e+25     7.973e+24     4.201e+24  
   9.000           nan           nan     6.551e+25     6.134e+25     5.706e+25     5.266e+25     4.815e+25     4.355e+25     3.885e+25     3.406e+25     2.919e+25     2.426e+25     1.930e+25     1.439e+25     9.760e+24     5.803e+24     2.914e+24  
