# eps=0.8: maximum star formation efficiency for FFB
# FFB attenuation mode: None. None for no attenuation
# -----
# z, rho_UV[<MUV] [erg s^-1 Hz^-1 cMpc^-3]
# 
       z   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
   4.000           nan           nan     1.148e+27     1.138e+27     1.126e+27     1.111e+27     1.094e+27     1.075e+27     1.052e+27     1.025e+27     9.949e+26     9.604e+26     9.216e+26     8.783e+26     8.306e+26     7.785e+26     7.223e+26  
   4.500           nan           nan     9.400e+26     9.291e+26     9.164e+26     9.017e+26     8.847e+26     8.652e+26     8.430e+26     8.180e+26     7.900e+26     7.589e+26     7.248e+26     6.876e+26     6.476e+26     6.048e+26     5.596e+26  
   5.000           nan           nan     7.750e+26     7.638e+26     7.510e+26     7.364e+26     7.199e+26     7.013e+26     6.807e+26     6.578e+26     6.327e+26     6.055e+26     5.761e+26     5.447e+26     5.114e+26     4.762e+26     4.392e+26  
   5.500           nan           nan     6.384e+26     6.273e+26     6.149e+26     6.009e+26     5.855e+26     5.684e+26     5.497e+26     5.294e+26     5.076e+26     4.842e+26     4.593e+26     4.330e+26     4.052e+26     3.760e+26     3.452e+26  
   6.000           nan           nan     5.232e+26     5.127e+26     5.010e+26     4.882e+26     4.742e+26     4.590e+26     4.426e+26     4.251e+26     4.064e+26     3.867e+26     3.657e+26     3.437e+26     3.204e+26     2.958e+26     2.698e+26  
   6.500           nan           nan     4.582e+26     4.478e+26     4.366e+26     4.244e+26     4.112e+26     3.972e+26     3.822e+26     3.663e+26     3.494e+26     3.316e+26     3.126e+26     2.926e+26     2.713e+26     2.486e+26     2.245e+26  
   7.000           nan           nan     3.713e+26     3.621e+26     3.523e+26     3.417e+26     3.305e+26     3.185e+26     3.058e+26     2.924e+26     2.782e+26     2.631e+26     2.471e+26     2.300e+26     2.118e+26     1.923e+26     1.715e+26  
   7.500           nan           nan     2.989e+26     2.910e+26     2.826e+26     2.736e+26     2.642e+26     2.541e+26     2.435e+26     2.322e+26     2.203e+26     2.075e+26     1.939e+26     1.794e+26     1.637e+26     1.470e+26     1.291e+26  
   8.000           nan           nan     2.392e+26     2.325e+26     2.254e+26     2.179e+26     2.100e+26     2.017e+26     1.928e+26     1.833e+26     1.733e+26     1.625e+26     1.509e+26     1.385e+26     1.251e+26     1.108e+26     9.545e+25  
   8.500           nan           nan     1.903e+26     1.848e+26     1.789e+26     1.727e+26     1.662e+26     1.592e+26     1.518e+26     1.439e+26     1.354e+26     1.263e+26     1.164e+26     1.058e+26     9.439e+25     8.216e+25     6.923e+25  
   9.000           nan           nan     1.508e+26     1.462e+26     1.414e+26     1.363e+26     1.308e+26     1.250e+26     1.188e+26     1.122e+26     1.050e+26     9.730e+25     8.894e+25     7.993e+25     7.024e+25     5.994e+25     4.918e+25  
   9.500           nan           nan     1.190e+26     1.152e+26     1.112e+26     1.070e+26     1.025e+26     9.768e+25     9.250e+25     8.691e+25     8.086e+25     7.433e+25     6.726e+25     5.965e+25     5.151e+25     4.295e+25     3.415e+25  
  10.000           nan           nan     9.353e+25     9.045e+25     8.717e+25     8.367e+25     7.992e+25     7.590e+25     7.155e+25     6.685e+25     6.176e+25     5.625e+25     5.031e+25     4.394e+25     3.718e+25     3.017e+25     2.313e+25  
  10.500           nan           nan     7.326e+25     7.072e+25     6.801e+25     6.511e+25     6.199e+25     5.862e+25     5.498e+25     5.104e+25     4.677e+25     4.215e+25     3.719e+25     3.191e+25     2.637e+25     2.074e+25     1.525e+25  
