# eps=0.1: maximum star formation efficiency for FFB
# -----
# z, rho_SFR(<MUV) [Msun yr^-1 cMpc^-3]
#   MUV: absolute mag without dust attenuation
       z   rho(<-12.0)   rho(<-12.5)   rho(<-13.0)   rho(<-13.5)   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
   4.000     2.226e-02     2.223e-02     2.220e-02     2.216e-02     2.210e-02     2.202e-02     2.192e-02     2.179e-02     2.163e-02     2.141e-02     2.113e-02     2.078e-02     2.033e-02     1.976e-02     1.907e-02     1.821e-02     1.717e-02     1.593e-02     1.446e-02     1.277e-02     1.084e-02  
   4.500     1.791e-02     1.787e-02     1.781e-02     1.774e-02     1.764e-02     1.752e-02     1.737e-02     1.718e-02     1.694e-02     1.663e-02     1.626e-02     1.580e-02     1.525e-02     1.458e-02     1.379e-02     1.287e-02     1.182e-02     1.062e-02     9.295e-03     7.855e-03     6.323e-03  
   5.000     1.495e-02     1.488e-02     1.479e-02     1.468e-02     1.454e-02     1.436e-02     1.414e-02     1.387e-02     1.355e-02     1.316e-02     1.270e-02     1.215e-02     1.151e-02     1.078e-02     9.946e-03     9.026e-03     8.022e-03     6.951e-03     5.831e-03     4.684e-03     3.530e-03  
   5.500     1.286e-02     1.275e-02     1.262e-02     1.246e-02     1.226e-02     1.202e-02     1.174e-02     1.140e-02     1.100e-02     1.054e-02     1.000e-02     9.395e-03     8.716e-03     7.968e-03     7.161e-03     6.307e-03     5.424e-03     4.528e-03     3.638e-03     2.769e-03     1.928e-03  
   6.000     1.116e-02     1.102e-02     1.085e-02     1.064e-02     1.039e-02     1.010e-02     9.759e-03     9.365e-03     8.914e-03     8.405e-03     7.839e-03     7.219e-03     6.552e-03     5.848e-03     5.121e-03     4.386e-03     3.659e-03     2.954e-03     2.278e-03     1.633e-03     1.022e-03  
   6.500     1.035e-02     1.016e-02     9.928e-03     9.663e-03     9.356e-03     9.005e-03     8.605e-03     8.155e-03     7.655e-03     7.107e-03     6.516e-03     5.890e-03     5.239e-03     4.577e-03     3.919e-03     3.277e-03     2.662e-03     2.079e-03     1.529e-03     1.009e-03     5.304e-04  
   7.000     8.759e-03     8.545e-03     8.298e-03     8.014e-03     7.692e-03     7.328e-03     6.923e-03     6.477e-03     5.994e-03     5.479e-03     4.940e-03     4.388e-03     3.833e-03     3.289e-03     2.765e-03     2.269e-03     1.802e-03     1.362e-03     9.445e-04     5.528e-04     2.301e-04  
   7.500     7.234e-03     7.015e-03     6.765e-03     6.483e-03     6.166e-03     5.816e-03     5.433e-03     5.021e-03     4.586e-03     4.134e-03     3.675e-03     3.218e-03     2.774e-03     2.349e-03     1.949e-03     1.574e-03     1.220e-03     8.835e-04     5.614e-04     2.741e-04     9.194e-05  
   8.000     5.825e-03     5.616e-03     5.379e-03     5.115e-03     4.824e-03     4.507e-03     4.168e-03     3.810e-03     3.441e-03     3.067e-03     2.698e-03     2.340e-03     1.999e-03     1.678e-03     1.378e-03     1.094e-03     8.215e-04     5.574e-04     3.097e-04     1.213e-04     3.877e-05  
   8.500     4.587e-03     4.398e-03     4.186e-03     3.953e-03     3.699e-03     3.428e-03     3.142e-03     2.847e-03     2.550e-03     2.256e-03     1.971e-03     1.700e-03     1.444e-03     1.204e-03     9.767e-04     7.574e-04     5.423e-04     3.332e-04     1.544e-04     5.322e-05     1.903e-05  
   9.000     3.551e-03     3.388e-03     3.207e-03     3.010e-03     2.799e-03     2.576e-03     2.346e-03     2.113e-03     1.882e-03     1.658e-03     1.444e-03     1.241e-03     1.050e-03     8.681e-04     6.919e-04     5.177e-04     3.445e-04     1.842e-04     7.280e-05     2.617e-05     1.002e-05  
   9.500     2.721e-03     2.585e-03     2.436e-03     2.275e-03     2.105e-03     1.928e-03     1.748e-03     1.569e-03     1.394e-03     1.226e-03     1.066e-03     9.136e-04     7.682e-04     6.268e-04     4.862e-04     3.448e-04     2.069e-04     9.536e-05     3.641e-05     1.408e-05     5.124e-06  
  10.000     2.078e-03     1.968e-03     1.848e-03     1.720e-03     1.586e-03     1.448e-03     1.310e-03     1.174e-03     1.042e-03     9.150e-04     7.940e-04     6.775e-04     5.639e-04     4.506e-04     3.359e-04     2.208e-04     1.174e-04     4.982e-05     1.988e-05     7.547e-06     2.215e-06  
  10.500     1.594e-03     1.505e-03     1.410e-03     1.309e-03     1.204e-03     1.098e-03     9.921e-04     8.882e-04     7.875e-04     6.906e-04     5.968e-04     5.050e-04     4.135e-04     3.205e-04     2.259e-04     1.353e-04     6.538e-05     2.775e-05     1.103e-05     3.516e-06     7.012e-07  
