# eps=0.4: maximum star formation efficiency for FFB
# -----
# z, rho_SFR(<MUV) [Msun yr^-1 cMpc^-3]
#   MUV: absolute mag without dust attenuation
       z   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
   4.000     2.411e-02     2.404e-02     2.394e-02     2.381e-02     2.365e-02     2.343e-02     2.316e-02     2.282e-02     2.239e-02     2.184e-02     2.118e-02     2.036e-02     1.938e-02     1.822e-02     1.687e-02     1.532e-02     1.360e-02  
   4.500     2.048e-02     2.036e-02     2.021e-02     2.002e-02     1.979e-02     1.950e-02     1.913e-02     1.869e-02     1.816e-02     1.753e-02     1.679e-02     1.594e-02     1.496e-02     1.388e-02     1.270e-02     1.144e-02     1.013e-02  
   5.000     1.763e-02     1.745e-02     1.724e-02     1.698e-02     1.667e-02     1.629e-02     1.585e-02     1.533e-02     1.472e-02     1.404e-02     1.328e-02     1.245e-02     1.155e-02     1.061e-02     9.637e-03     8.651e-03     7.659e-03  
   5.500     1.537e-02     1.514e-02     1.486e-02     1.453e-02     1.415e-02     1.371e-02     1.320e-02     1.263e-02     1.201e-02     1.132e-02     1.060e-02     9.845e-03     9.072e-03     8.293e-03     7.515e-03     6.742e-03     5.967e-03  
   6.000     1.342e-02     1.313e-02     1.280e-02     1.243e-02     1.200e-02     1.152e-02     1.099e-02     1.042e-02     9.818e-03     9.190e-03     8.549e-03     7.906e-03     7.268e-03     6.638e-03     6.014e-03     5.387e-03     4.744e-03  
   6.500     1.242e-02     1.208e-02     1.170e-02     1.127e-02     1.080e-02     1.030e-02     9.756e-03     9.192e-03     8.614e-03     8.033e-03     7.455e-03     6.886e-03     6.327e-03     5.773e-03     5.214e-03     4.635e-03     4.015e-03  
   7.000     1.055e-02     1.020e-02     9.820e-03     9.403e-03     8.957e-03     8.488e-03     8.005e-03     7.516e-03     7.028e-03     6.548e-03     6.079e-03     5.619e-03     5.162e-03     4.701e-03     4.221e-03     3.703e-03     3.125e-03  
   7.500     8.790e-03     8.458e-03     8.101e-03     7.721e-03     7.326e-03     6.922e-03     6.517e-03     6.115e-03     5.721e-03     5.337e-03     4.961e-03     4.588e-03     4.209e-03     3.813e-03     3.384e-03     2.903e-03     2.350e-03  
   8.000     7.195e-03     6.899e-03     6.587e-03     6.264e-03     5.935e-03     5.605e-03     5.280e-03     4.962e-03     4.651e-03     4.347e-03     4.044e-03     3.736e-03     3.413e-03     3.062e-03     2.667e-03     2.210e-03     1.681e-03  
   8.500     5.814e-03     5.564e-03     5.307e-03     5.045e-03     4.782e-03     4.523e-03     4.270e-03     4.022e-03     3.778e-03     3.535e-03     3.287e-03     3.026e-03     2.742e-03     2.421e-03     2.050e-03     1.615e-03     1.123e-03  
   9.000     4.662e-03     4.461e-03     4.257e-03     4.052e-03     3.849e-03     3.649e-03     3.454e-03     3.260e-03     3.067e-03     2.868e-03     2.659e-03     2.431e-03     2.174e-03     1.877e-03     1.526e-03     1.121e-03     6.894e-04  
   9.500     3.728e-03     3.572e-03     3.414e-03     3.256e-03     3.101e-03     2.947e-03     2.795e-03     2.642e-03     2.484e-03     2.318e-03     2.137e-03     1.933e-03     1.696e-03     1.418e-03     1.091e-03     7.280e-04     3.850e-04  
  10.000     2.986e-03     2.865e-03     2.744e-03     2.623e-03     2.504e-03     2.384e-03     2.263e-03     2.138e-03     2.007e-03     1.863e-03     1.702e-03     1.516e-03     1.296e-03     1.037e-03     7.415e-04     4.381e-04     1.976e-04  
  10.500     2.399e-03     2.306e-03     2.213e-03     2.120e-03     2.026e-03     1.930e-03     1.831e-03     1.727e-03     1.613e-03     1.486e-03     1.340e-03     1.169e-03     9.662e-04     7.306e-04     4.751e-04     2.445e-04     9.623e-05  
  11.000     1.938e-03     1.865e-03     1.792e-03     1.718e-03     1.642e-03     1.563e-03     1.480e-03     1.390e-03     1.289e-03     1.175e-03     1.041e-03     8.837e-04     6.990e-04     4.917e-04     2.857e-04     1.288e-04     4.483e-05  
  11.500     1.574e-03     1.516e-03     1.457e-03     1.396e-03     1.333e-03     1.266e-03     1.193e-03     1.113e-03     1.023e-03     9.186e-04     7.963e-04     6.530e-04     4.887e-04     3.150e-04     1.627e-04     6.461e-05     1.887e-05  
  12.000     1.287e-03     1.239e-03     1.189e-03     1.137e-03     1.083e-03     1.024e-03     9.593e-04     8.871e-04     8.047e-04     7.093e-04     5.980e-04     4.697e-04     3.287e-04     1.922e-04     8.793e-05     2.956e-05     7.017e-06  
  12.500     1.060e-03     1.018e-03     9.747e-04     9.289e-04     8.800e-04     8.269e-04     7.681e-04     7.019e-04     6.263e-04     5.391e-04     4.390e-04     3.272e-04     2.121e-04     1.115e-04     4.366e-05     1.207e-05     2.399e-06  
  13.000     8.788e-04     8.414e-04     8.020e-04     7.600e-04     7.148e-04     6.655e-04     6.108e-04     5.495e-04     4.799e-04     4.010e-04     3.130e-04     2.197e-04     1.306e-04     5.990e-05     1.953e-05     4.550e-06     7.752e-07  
  13.500     7.339e-04     6.985e-04     6.610e-04     6.209e-04     5.778e-04     5.308e-04     4.791e-04     4.218e-04     3.582e-04     2.887e-04     2.150e-04     1.416e-04     7.546e-05     2.938e-05     8.095e-06     1.625e-06     2.388e-07  
