# eps=0.6: maximum star formation efficiency for FFB
# -----
# z, rho_SFR(<MUV) [Msun yr^-1 cMpc^-3]
#   MUV: absolute mag without dust attenuation
       z   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)  
   5.000     1.931e-02     1.905e-02     1.874e-02     1.838e-02     1.794e-02     1.744e-02     1.686e-02     1.620e-02     1.547e-02     1.467e-02     1.382e-02     1.292e-02     1.200e-02  
   5.500     1.694e-02     1.662e-02     1.625e-02     1.581e-02     1.532e-02     1.478e-02     1.417e-02     1.352e-02     1.283e-02     1.211e-02     1.137e-02     1.062e-02     9.869e-03  
   6.000     1.483e-02     1.446e-02     1.405e-02     1.358e-02     1.308e-02     1.253e-02     1.195e-02     1.135e-02     1.074e-02     1.012e-02     9.505e-03     8.888e-03     8.266e-03  
   6.500     1.376e-02     1.334e-02     1.289e-02     1.240e-02     1.188e-02     1.135e-02     1.079e-02     1.024e-02     9.681e-03     9.128e-03     8.576e-03     8.019e-03     7.446e-03  
   7.000     1.174e-02     1.134e-02     1.091e-02     1.046e-02     1.000e-02     9.535e-03     9.067e-03     8.603e-03     8.144e-03     7.687e-03     7.226e-03     6.750e-03     6.243e-03  
   7.500     9.869e-03     9.504e-03     9.126e-03     8.740e-03     8.352e-03     7.966e-03     7.584e-03     7.207e-03     6.833e-03     6.453e-03     6.061e-03     5.641e-03     5.175e-03  
   8.000     8.186e-03     7.876e-03     7.562e-03     7.246e-03     6.933e-03     6.625e-03     6.319e-03     6.015e-03     5.707e-03     5.386e-03     5.043e-03     4.661e-03     4.221e-03  
   8.500     6.730e-03     6.480e-03     6.229e-03     5.980e-03     5.734e-03     5.490e-03     5.246e-03     4.998e-03     4.740e-03     4.462e-03     4.152e-03     3.796e-03     3.372e-03  
   9.000     5.507e-03     5.311e-03     5.116e-03     4.922e-03     4.730e-03     4.536e-03     4.339e-03     4.133e-03     3.910e-03     3.662e-03     3.376e-03     3.038e-03     2.627e-03  
   9.500     4.499e-03     4.347e-03     4.197e-03     4.046e-03     3.894e-03     3.738e-03     3.574e-03     3.397e-03     3.200e-03     2.974e-03     2.705e-03     2.381e-03     1.987e-03  
  10.000     3.675e-03     3.558e-03     3.440e-03     3.321e-03     3.198e-03     3.069e-03     2.929e-03     2.774e-03     2.595e-03     2.385e-03     2.131e-03     1.822e-03     1.449e-03  
  10.500     3.003e-03     2.912e-03     2.819e-03     2.722e-03     2.620e-03     2.510e-03     2.387e-03     2.247e-03     2.083e-03     1.885e-03     1.646e-03     1.355e-03     1.012e-03  
  11.000     2.457e-03     2.384e-03     2.308e-03     2.227e-03     2.140e-03     2.043e-03     1.933e-03     1.804e-03     1.651e-03     1.466e-03     1.242e-03     9.747e-04     6.729e-04  
  11.500     2.013e-03     1.952e-03     1.887e-03     1.818e-03     1.741e-03     1.654e-03     1.553e-03     1.434e-03     1.292e-03     1.120e-03     9.139e-04     6.750e-04     4.234e-04  
  12.000     1.651e-03     1.599e-03     1.542e-03     1.480e-03     1.411e-03     1.331e-03     1.238e-03     1.128e-03     9.958e-04     8.378e-04     6.524e-04     4.477e-04     2.520e-04  
  12.500     1.356e-03     1.309e-03     1.259e-03     1.202e-03     1.138e-03     1.064e-03     9.778e-04     8.756e-04     7.543e-04     6.116e-04     4.501e-04     2.835e-04     1.413e-04  
  13.000     1.116e-03     1.073e-03     1.025e-03     9.726e-04     9.125e-04     8.435e-04     7.630e-04     6.687e-04     5.587e-04     4.333e-04     2.986e-04     1.704e-04     7.309e-05  
  13.500     9.184e-04     8.773e-04     8.320e-04     7.815e-04     7.244e-04     6.591e-04     5.843e-04     4.985e-04     4.016e-04     2.963e-04     1.895e-04     9.566e-05     3.476e-05  
