# eps=0.5: maximum star formation efficiency for FFB
# -----
# z, rho_star[<MUV] [Msun cMpc^-3]
# 
       z   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)  
   5.000     9.724e+06     9.620e+06     9.497e+06     9.351e+06     9.180e+06     8.981e+06     8.751e+06     8.489e+06     8.192e+06     7.860e+06     7.492e+06     7.088e+06     6.650e+06  
   5.500     7.606e+06     7.503e+06     7.384e+06     7.245e+06     7.086e+06     6.905e+06     6.700e+06     6.471e+06     6.217e+06     5.938e+06     5.634e+06     5.307e+06     4.954e+06  
   6.000     5.967e+06     5.870e+06     5.759e+06     5.632e+06     5.490e+06     5.330e+06     5.153e+06     4.959e+06     4.747e+06     4.517e+06     4.270e+06     4.004e+06     3.719e+06  
   6.500     5.026e+06     4.932e+06     4.825e+06     4.706e+06     4.574e+06     4.429e+06     4.270e+06     4.097e+06     3.910e+06     3.708e+06     3.491e+06     3.258e+06     3.006e+06  
   7.000     3.933e+06     3.850e+06     3.758e+06     3.656e+06     3.544e+06     3.423e+06     3.291e+06     3.149e+06     2.996e+06     2.831e+06     2.653e+06     2.460e+06     2.251e+06  
   7.500     3.064e+06     2.993e+06     2.915e+06     2.830e+06     2.738e+06     2.638e+06     2.530e+06     2.414e+06     2.289e+06     2.154e+06     2.007e+06     1.847e+06     1.672e+06  
   8.000     2.377e+06     2.318e+06     2.253e+06     2.183e+06     2.108e+06     2.027e+06     1.939e+06     1.844e+06     1.742e+06     1.630e+06     1.508e+06     1.375e+06     1.229e+06  
   8.500     1.837e+06     1.788e+06     1.735e+06     1.679e+06     1.618e+06     1.552e+06     1.480e+06     1.403e+06     1.319e+06     1.226e+06     1.125e+06     1.013e+06     8.910e+05  
   9.000     1.415e+06     1.375e+06     1.333e+06     1.287e+06     1.237e+06     1.184e+06     1.126e+06     1.062e+06     9.923e+05     9.156e+05     8.311e+05     7.382e+05     6.367e+05  
   9.500     1.087e+06     1.055e+06     1.021e+06     9.835e+05     9.434e+05     8.998e+05     8.521e+05     7.997e+05     7.420e+05     6.782e+05     6.080e+05     5.310e+05     4.475e+05  
  10.000     8.326e+05     8.070e+05     7.794e+05     7.494e+05     7.167e+05     6.810e+05     6.418e+05     5.985e+05     5.507e+05     4.979e+05     4.398e+05     3.765e+05     3.088e+05  
  10.500     6.365e+05     6.158e+05     5.934e+05     5.690e+05     5.423e+05     5.130e+05     4.807e+05     4.449e+05     4.054e+05     3.618e+05     3.141e+05     2.627e+05     2.087e+05  
  11.000     4.855e+05     4.687e+05     4.504e+05     4.305e+05     4.086e+05     3.844e+05     3.578e+05     3.283e+05     2.958e+05     2.601e+05     2.213e+05     1.801e+05     1.378e+05  
  11.500     3.694e+05     3.557e+05     3.408e+05     3.244e+05     3.064e+05     2.865e+05     2.646e+05     2.404e+05     2.137e+05     1.847e+05     1.535e+05     1.210e+05     8.867e+04  
  12.000     2.803e+05     2.691e+05     2.568e+05     2.434e+05     2.286e+05     2.122e+05     1.942e+05     1.745e+05     1.528e+05     1.294e+05     1.047e+05     7.951e+04     5.539e+04  
  12.500     2.121e+05     2.029e+05     1.928e+05     1.817e+05     1.695e+05     1.561e+05     1.414e+05     1.253e+05     1.079e+05     8.930e+04     6.999e+04     5.088e+04     3.339e+04  
  13.000     1.599e+05     1.522e+05     1.439e+05     1.348e+05     1.248e+05     1.139e+05     1.019e+05     8.899e+04     7.509e+04     6.047e+04     4.564e+04     3.151e+04     1.927e+04  
  13.500     1.199e+05     1.135e+05     1.066e+05     9.916e+04     9.101e+04     8.215e+04     7.256e+04     6.224e+04     5.129e+04     3.999e+04     2.885e+04     1.872e+04     1.056e+04  
