# eps=0.9: maximum star formation efficiency for FFB
# -----
# z, rho_star[<MUV] [Msun cMpc^-3]
# 
       z   rho(<-12.0)   rho(<-12.5)   rho(<-13.0)   rho(<-13.5)   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
   4.000     2.241e+07     2.238e+07     2.235e+07     2.231e+07     2.226e+07     2.220e+07     2.212e+07     2.203e+07     2.191e+07     2.176e+07     2.158e+07     2.136e+07     2.110e+07     2.078e+07     2.040e+07     1.995e+07     1.943e+07     1.882e+07     1.812e+07     1.732e+07     1.643e+07  
   4.500     1.796e+07     1.793e+07     1.789e+07     1.785e+07     1.779e+07     1.772e+07     1.764e+07     1.754e+07     1.741e+07     1.726e+07     1.708e+07     1.687e+07     1.661e+07     1.631e+07     1.596e+07     1.556e+07     1.510e+07     1.457e+07     1.398e+07     1.332e+07     1.260e+07  
   5.000     1.445e+07     1.442e+07     1.438e+07     1.433e+07     1.427e+07     1.420e+07     1.411e+07     1.401e+07     1.388e+07     1.373e+07     1.356e+07     1.335e+07     1.311e+07     1.284e+07     1.253e+07     1.217e+07     1.177e+07     1.133e+07     1.083e+07     1.029e+07     9.691e+06  
   5.500     1.167e+07     1.164e+07     1.160e+07     1.154e+07     1.148e+07     1.141e+07     1.132e+07     1.122e+07     1.109e+07     1.095e+07     1.079e+07     1.060e+07     1.038e+07     1.014e+07     9.868e+06     9.562e+06     9.223e+06     8.847e+06     8.433e+06     7.976e+06     7.474e+06  
   6.000     9.424e+06     9.387e+06     9.343e+06     9.291e+06     9.229e+06     9.156e+06     9.071e+06     8.973e+06     8.859e+06     8.728e+06     8.580e+06     8.412e+06     8.223e+06     8.012e+06     7.778e+06     7.518e+06     7.231e+06     6.914e+06     6.563e+06     6.176e+06     5.747e+06  
   6.500     8.153e+06     8.112e+06     8.064e+06     8.008e+06     7.944e+06     7.870e+06     7.785e+06     7.688e+06     7.578e+06     7.454e+06     7.315e+06     7.159e+06     6.986e+06     6.794e+06     6.580e+06     6.344e+06     6.082e+06     5.792e+06     5.469e+06     5.109e+06     4.707e+06  
   7.000     6.532e+06     6.493e+06     6.449e+06     6.398e+06     6.339e+06     6.272e+06     6.196e+06     6.110e+06     6.014e+06     5.906e+06     5.787e+06     5.654e+06     5.506e+06     5.343e+06     5.163e+06     4.962e+06     4.738e+06     4.489e+06     4.211e+06     3.899e+06     3.550e+06  
   7.500     5.203e+06     5.168e+06     5.128e+06     5.082e+06     5.029e+06     4.971e+06     4.904e+06     4.830e+06     4.748e+06     4.656e+06     4.555e+06     4.443e+06     4.319e+06     4.181e+06     4.028e+06     3.857e+06     3.666e+06     3.452e+06     3.212e+06     2.942e+06     2.640e+06  
   8.000     4.120e+06     4.089e+06     4.053e+06     4.013e+06     3.968e+06     3.917e+06     3.861e+06     3.798e+06     3.729e+06     3.652e+06     3.567e+06     3.473e+06     3.369e+06     3.252e+06     3.123e+06     2.977e+06     2.814e+06     2.630e+06     2.422e+06     2.190e+06     1.930e+06  
   8.500     3.244e+06     3.217e+06     3.187e+06     3.152e+06     3.114e+06     3.071e+06     3.024e+06     2.972e+06     2.914e+06     2.850e+06     2.779e+06     2.700e+06     2.613e+06     2.515e+06     2.405e+06     2.281e+06     2.141e+06     1.983e+06     1.805e+06     1.606e+06     1.386e+06  
   9.000     2.543e+06     2.520e+06     2.494e+06     2.465e+06     2.433e+06     2.397e+06     2.358e+06     2.315e+06     2.267e+06     2.214e+06     2.155e+06     2.089e+06     2.015e+06     1.932e+06     1.839e+06     1.733e+06     1.614e+06     1.479e+06     1.328e+06     1.159e+06     9.749e+05  
