# eps=1.0: maximum star formation efficiency for FFB
# -----
# z, rho_star[<MUV] [Msun cMpc^-3]
# 
       z   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
   4.000     2.368e+07     2.362e+07     2.354e+07     2.345e+07     2.333e+07     2.318e+07     2.300e+07     2.278e+07     2.252e+07     2.220e+07     2.182e+07     2.136e+07     2.083e+07     2.022e+07     1.951e+07     1.870e+07     1.779e+07  
   4.500     1.907e+07     1.900e+07     1.891e+07     1.881e+07     1.869e+07     1.853e+07     1.835e+07     1.814e+07     1.788e+07     1.758e+07     1.722e+07     1.682e+07     1.635e+07     1.581e+07     1.521e+07     1.454e+07     1.380e+07  
   5.000     1.537e+07     1.530e+07     1.521e+07     1.510e+07     1.498e+07     1.483e+07     1.465e+07     1.444e+07     1.420e+07     1.393e+07     1.361e+07     1.325e+07     1.284e+07     1.239e+07     1.188e+07     1.132e+07     1.070e+07  
   5.500     1.241e+07     1.234e+07     1.225e+07     1.214e+07     1.202e+07     1.188e+07     1.171e+07     1.152e+07     1.131e+07     1.106e+07     1.078e+07     1.047e+07     1.012e+07     9.735e+06     9.306e+06     8.832e+06     8.307e+06  
   6.000     1.001e+07     9.933e+06     9.848e+06     9.749e+06     9.634e+06     9.503e+06     9.352e+06     9.182e+06     8.991e+06     8.776e+06     8.536e+06     8.270e+06     7.973e+06     7.644e+06     7.279e+06     6.873e+06     6.422e+06  
   6.500     8.634e+06     8.560e+06     8.475e+06     8.377e+06     8.266e+06     8.141e+06     8.000e+06     7.842e+06     7.665e+06     7.469e+06     7.249e+06     7.005e+06     6.734e+06     6.430e+06     6.091e+06     5.712e+06     5.287e+06  
   7.000     6.905e+06     6.838e+06     6.762e+06     6.675e+06     6.578e+06     6.469e+06     6.347e+06     6.212e+06     6.061e+06     5.893e+06     5.706e+06     5.497e+06     5.264e+06     5.002e+06     4.708e+06     4.378e+06     4.007e+06  
   7.500     5.490e+06     5.431e+06     5.364e+06     5.289e+06     5.206e+06     5.113e+06     5.010e+06     4.895e+06     4.767e+06     4.624e+06     4.465e+06     4.286e+06     4.085e+06     3.859e+06     3.604e+06     3.317e+06     2.994e+06  
   8.000     4.340e+06     4.289e+06     4.232e+06     4.168e+06     4.098e+06     4.019e+06     3.932e+06     3.835e+06     3.727e+06     3.606e+06     3.470e+06     3.317e+06     3.145e+06     2.950e+06     2.729e+06     2.480e+06     2.201e+06  
   8.500     3.412e+06     3.369e+06     3.321e+06     3.268e+06     3.209e+06     3.143e+06     3.070e+06     2.989e+06     2.897e+06     2.795e+06     2.679e+06     2.548e+06     2.399e+06     2.231e+06     2.041e+06     1.828e+06     1.590e+06  
   9.000     2.670e+06     2.634e+06     2.594e+06     2.550e+06     2.501e+06     2.446e+06     2.385e+06     2.316e+06     2.239e+06     2.152e+06     2.053e+06     1.941e+06     1.814e+06     1.670e+06     1.508e+06     1.326e+06     1.126e+06  
   9.500     2.081e+06     2.051e+06     2.018e+06     1.981e+06     1.941e+06     1.895e+06     1.844e+06     1.786e+06     1.721e+06     1.647e+06     1.563e+06     1.467e+06     1.359e+06     1.236e+06     1.099e+06     9.465e+05     7.811e+05  
  10.000     1.615e+06     1.591e+06     1.564e+06     1.533e+06     1.499e+06     1.461e+06     1.418e+06     1.369e+06     1.314e+06     1.251e+06     1.180e+06     1.099e+06     1.007e+06     9.042e+05     7.892e+05     6.632e+05     5.293e+05  
  10.500     1.250e+06     1.229e+06     1.207e+06     1.181e+06     1.153e+06     1.121e+06     1.085e+06     1.044e+06     9.974e+05     9.444e+05     8.841e+05     8.159e+05     7.389e+05     6.527e+05     5.577e+05     4.554e+05     3.494e+05  
  11.000     9.631e+05     9.464e+05     9.276e+05     9.066e+05     8.829e+05     8.561e+05     8.257e+05     7.912e+05     7.519e+05     7.073e+05     6.568e+05     5.997e+05     5.356e+05     4.646e+05     3.872e+05     3.057e+05     2.240e+05  
  11.500     7.399e+05     7.259e+05     7.103e+05     6.928e+05     6.729e+05     6.505e+05     6.250e+05     5.960e+05     5.631e+05     5.258e+05     4.836e+05     4.363e+05     3.835e+05     3.256e+05     2.637e+05     2.001e+05     1.389e+05  
  12.000     5.665e+05     5.549e+05     5.418e+05     5.271e+05     5.105e+05     4.917e+05     4.704e+05     4.461e+05     4.187e+05     3.877e+05     3.528e+05     3.139e+05     2.709e+05     2.244e+05     1.757e+05     1.272e+05     8.290e+04  
  12.500     4.323e+05     4.225e+05     4.116e+05     3.993e+05     3.854e+05     3.697e+05     3.519e+05     3.317e+05     3.090e+05     2.834e+05     2.547e+05     2.231e+05     1.885e+05     1.517e+05     1.141e+05     7.821e+04     4.736e+04  
