# eps=0.5: maximum star formation efficiency for FFB
# -----
# z, rho_star[>logMstar [Msun]] [Msun cMpc^-3]
# 
       z   rho(>7.0)   rho(>7.5)   rho(>8.0)   rho(>8.5)   rho(>9.0)   rho(>9.5)   rho(>10.0)   rho(>10.5)   rho(>11.0)   rho(>11.5)   rho(>12.0)  
   5.000   9.523e+06   9.161e+06   8.650e+06   7.963e+06   7.088e+06   6.030e+06    4.804e+06    3.427e+06    1.972e+06    7.309e+05    1.218e+05  
   5.500   7.409e+06   7.069e+06   6.611e+06   6.024e+06   5.307e+06   4.460e+06    3.480e+06    2.369e+06    1.218e+06    3.583e+05    4.139e+04  
   6.000   5.782e+06   5.474e+06   5.077e+06   4.588e+06   4.004e+06   3.318e+06    2.516e+06    1.603e+06    7.121e+05    1.595e+05    1.243e+04  
   6.500   4.847e+06   4.560e+06   4.202e+06   3.770e+06   3.258e+06   2.648e+06    1.924e+06    1.114e+06    4.073e+05    6.549e+04    3.236e+03  
   7.000   3.777e+06   3.533e+06   3.236e+06   2.882e+06   2.460e+06   1.952e+06    1.346e+06    6.970e+05    2.054e+05    2.360e+04    7.696e+02  
   7.500   2.932e+06   2.728e+06   2.485e+06   2.195e+06   1.847e+06   1.421e+06    9.184e+05    4.150e+05    9.575e+04    7.713e+03    1.671e+02  
   8.000   2.267e+06   2.100e+06   1.902e+06   1.665e+06   1.375e+06   1.019e+06    6.075e+05    2.339e+05    4.113e+04    2.293e+03    3.343e+01  
   8.500   1.746e+06   1.611e+06   1.450e+06   1.255e+06   1.013e+06   7.169e+05    3.881e+05    1.242e+05    1.626e+04    6.236e+02    6.226e+00  
   9.000   1.341e+06   1.232e+06   1.101e+06   9.394e+05   7.382e+05   4.940e+05    2.386e+05    6.189e+04    5.918e+03    1.562e+02    1.094e+00  
   9.500   1.028e+06   9.392e+05   8.317e+05   6.980e+05   5.310e+05   3.325e+05    1.406e+05    2.888e+04    1.985e+03    3.630e+01    1.838e-01  
  10.000   7.851e+05   7.133e+05   6.250e+05   5.143e+05   3.765e+05   2.180e+05    7.910e+04    1.258e+04    6.143e+02    7.917e+00    3.004e-02  
  10.500   5.981e+05   5.395e+05   4.668e+05   3.753e+05   2.627e+05   1.389e+05    4.231e+04    5.094e+03    1.758e+02    1.646e+00    4.845e-03  
  11.000   4.542e+05   4.063e+05   3.464e+05   2.711e+05   1.801e+05   8.559e+04    2.141e+04    1.911e+03    4.687e+01    3.334e-01    7.777e-04  
  11.500   3.439e+05   3.045e+05   2.552e+05   1.937e+05   1.210e+05   5.086e+04    1.019e+04    6.634e+02    1.186e+01    6.722e-02    1.244e-04  
  12.000   2.594e+05   2.270e+05   1.865e+05   1.366e+05   7.951e+04   2.897e+04    4.529e+03    2.144e+02    2.926e+00    1.363e-02    1.972e-05  
  12.500   1.949e+05   1.682e+05   1.352e+05   9.499e+04   5.088e+04   1.570e+04    1.872e+03    6.559e+01    7.209e-01    2.778e-03    3.109e-06  
  13.000   1.456e+05   1.237e+05   9.688e+04   6.491e+04   3.151e+04   8.015e+03    7.229e+02    1.953e+01    1.794e-01    5.646e-04    4.732e-07  
  13.500   1.081e+05   9.016e+04   6.851e+04   4.339e+04   1.872e+04   3.843e+03    2.655e+02    5.800e+00    4.493e-02    1.139e-04    7.120e-08  
  14.000   7.946e+04   6.490e+04   4.765e+04   2.822e+04   1.061e+04   1.743e+03    9.508e+01    1.734e+00    1.124e-02    2.263e-05    1.034e-08  
  14.500   5.772e+04   4.602e+04   3.248e+04   1.778e+04   5.743e+03   7.618e+02    3.384e+01    5.203e-01    2.785e-03    4.352e-06    1.359e-09  
  15.000   4.130e+04   3.208e+04   2.166e+04   1.086e+04   3.003e+03   3.263e+02    1.203e+01    1.556e-01    6.818e-04    8.221e-07    1.761e-10  
  15.500   2.906e+04   2.199e+04   1.417e+04   6.476e+03   1.533e+03   1.381e+02    4.262e+00    4.611e-02    1.643e-04    1.504e-07    1.942e-11  
  16.000   2.015e+04   1.488e+04   9.132e+03   3.791e+03   7.695e+02   5.788e+01    1.497e+00    1.350e-02    3.881e-05    2.646e-08    5.442e-24  
  16.500   1.384e+04   9.993e+03   5.825e+03   2.186e+03   3.802e+02   2.395e+01    5.193e-01    3.893e-03    8.952e-06    4.442e-09          nan  
  17.000   9.483e+03   6.677e+03   3.681e+03   1.242e+03   1.848e+02   9.766e+00    1.775e-01    1.104e-03    2.004e-06    7.017e-10          nan  
  17.500   6.489e+03   4.441e+03   2.304e+03   6.950e+02   8.823e+01   3.913e+00    5.967e-02    3.067e-04    4.321e-07    1.030e-10          nan  
  18.000   4.433e+03   2.938e+03   1.426e+03   3.821e+02   4.128e+01   1.538e+00    1.969e-02    8.322e-05    8.898e-08    1.262e-11          nan  
  18.500   3.020e+03   1.931e+03   8.715e+02   2.060e+02   1.891e+01   5.926e-01    6.372e-03    2.195e-05    1.735e-08    3.577e-24          nan  
  19.000   2.049e+03   1.258e+03   5.245e+02   1.088e+02   8.470e+00   2.237e-01    2.019e-03    5.589e-06    3.174e-09          nan          nan  
  19.500   1.382e+03   8.116e+02   3.104e+02   5.619e+01   3.708e+00   8.265e-02    6.252e-04    1.363e-06    5.362e-10          nan          nan  
  20.000   9.260e+02   5.173e+02   1.802e+02   2.835e+01   1.585e+00   2.987e-02    1.883e-04    3.155e-07    8.250e-11          nan          nan  
